"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Window","Next View","⌘F7","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"C/C++ Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Search","Open Search Dialog","⌃H","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Navigate","Open Type","⇧⌘T","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Run/Debug","Run to Line","⌘R","Debugging"
"Edit","Word Completion","⌃.","Editing Text"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views"
"Window","Previous View","⇧⌘F7","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"File","Print","⌘P","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Navigate","Next Page","⌥F7","In Windows"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Execute","⌘U","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Text Editing","Line Start","⌘←","Editing Text"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"C/C++ Source","References","⇧⌘G","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Navigate","Forward History","⌃⌘→","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"File","Rename","F2","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"View","Zoom In","⌘=","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
